,fid,id,Planeamien,PATRICOVA.,PATRICOV_1,Planeami_1,PATFOR. De,Planeami_2,Plan Gener,Catálogo,Catálogo.,Catálog_1,Clasificac,Zonificaci,Dotaciones,Afecciones,Afeccion_1,Infraestru,Red Natura,Infraest_1,Vías pecu,DIC_TIPO,DIC_TIPO_2,DIC_DES,DIC_DES_2,Normativa,Normativ_1,Normativ_2
1861,1862,03055A01300053,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1863,1864,03055A01300054,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1865,1866,03055A01300055,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1867,1868,03055A01300056,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1869,1870,03055A01300057,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1871,1872,03055A01300058,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1873,1874,03055A01300059,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1874,1875,03055A01300060,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1875,1876,03055A01300061,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1876,1877,03055A01300062,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1878,1879,03055A01300063,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1880,1881,03055A01300064,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1882,1883,03055A01300065,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-C. Suelo No Urbano Común,ZRC-FO. Zona rural común forestal,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Común,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1883,1884,03055A01300066,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1885,1886,03055A01300067,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1887,1888,03055A01300068,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1889,1890,03055A01300069,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1891,1892,03055A01300070,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1895,1896,03055A01300071,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1897,1898,03055A01300072,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1899,1900,03055A01300073,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1902,1903,03055A01300074,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1904,1905,03055A01300075,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1906,1907,03055A01300076,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1908,1909,03055A01300077,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1910,1911,03055A01300078,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1911,1912,03055A01300079,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1913,1914,03055A01300080,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1916,1917,03055A01300081,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1917,1918,03055A01300082,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1920,1921,03055A01300083,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1922,1923,03055A01300084,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1924,1925,03055A01300087,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1926,1927,03055A01300088,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,No Aplica,"PCV. Comunicaciones, red viaria tránsito- Primaria",No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
1928,1929,03055A01300089,Aplica,Nivel de riesgo 2,Frecuencia media (100 años) y calado alto (>0.8m),No Aplica,No Aplica,Aplica,Plan General de Ordenación Urbana de Catral. Expediente de Homologación del P.G.O.U. 1998,No Aplica,No Aplica,No Aplica,SNU-P.Suelo No Urbano Protegido,ZRP-CR. Zona rural protegida carreteras (dominio público),No Aplica,Aplica,AF-CR. Carreteras,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,No Aplica,Suelo No Urbanizable Protección Especial Sistemas Generales e Infraestructuras,"Régimen del suelo no urbanizable
· Usos: agrícola, forestal, ganadero, cinegético y, recursos naturales (Art. 2 del régimen general del suelo no urbanizable)
· No urbanizable común: utilización y explotación agrícolas, ganaderas, forestal cineg",No Aplica
